,repo_id,commit_id,commit_index,commit_time,message,parents,n_added,n_deleted,n_moved,n_renamed,n_struc_changes,total_files_per_level,max_file_depth,total_files,max_file_depth_diff,bucket
81474,openmessaging_benchmark,d7a602f96cd34a31fdb9603fc3d276db1d9fa6a2,0,1509387597,"Initial commit
",,26,0,0,0,26,"3,5,0,0,1,0,0,0,5,6,3,3",12,26,12.0,0
84881,jllarraz_androidpassportreader,b19d46dec81b2520f91cf14c0ce00ac3f9ad3f9c,0,1538579043,"First commit
",,83,0,0,0,83,"6,7,3,1,0,41,0,0,2,11,12",11,83,11.0,0
89642,highcapable_sweetdependency,416f05460e0ebeaff6010bc33b7ba2f46b47200e,0,1693674695,"Initial commit
",,164,0,0,0,164,"10,15,17,8,6,2,0,23,19,41,20,3",12,164,12.0,0
90565,adyen_adyen-react-native,f392e3637e353b24d4b5d9b62e29bf3802f2b3e6,1,1634892058,"Working DropIn for iOS and Android
",786902cdbcf055fd014f35580eaa5b817b43a9c3,33237,0,0,0,33237,"10,8,19,125,994,6787,12621,6113,4635,1383,524,20",12,33239,11.0,0
94499,kataras_go-sessions,0bbd868d2fae7aa2577d5331f9166216a12ecb35,28,1484047147,"Remove vendor folder because of https://github.com/gavv/httpexpect/pull/34
",23189bb49ac1748fbecfdb88f6a1d6e5bcb8d469,0,477,0,0,477,"12,1,9,3,0,0,0,0,0,0,0,0,0,0,0",4,25,-11.0,0
94510,kataras_go-sessions,90952754bf2dbaecfd909b44484464ac0ad4573d,50,1595621938,"update to v3.3.0
",5f379d83e592d5232a2d08619ca27fc8bbcf80b9,0,193,0,0,193,"19,0,9,3,0,0,0,0,0,0,0,0,0,0,0",4,31,-11.0,0
94653,notepadqq_notepadqq,2b4e60f579c8a41a06f11f7221e6cc317a79e634,0,1330095975,"Initial commit
",,266,0,0,0,266,"3,32,50,53,102,6,5,9,5,0,1,0,0,0",11,266,11.0,0
94808,qt_qtbase,38be0d13830efd2d98281c645c3a60afe05ffece,0,1303898743,"Initial import from the monolithic Qt.

This is the beginning of revision history for this module. If you
want to look at revision history older than this, please refer to the
Qt Git wiki for how to use Git history grafting. At the time of
writing, this wiki is located here:

http://qt.gitorious.org/qt/pages/GitIntroductionWithQt

If you have already performed the grafting and you don't see any
history beyond this commit, try running ""git log"" with the ""--follow""
argument.

Branched from the monolithic repo, Qt master branch, at commit
896db169ea224deb96c59ce8af800d019de63f12
",,20396,0,0,0,20396,"12,159,1117,6822,3781,3457,1384,451,1711,1184,315,3,0,0",12,20396,12.0,0
98716,dp-3t_dp3t-sdk-android,3ab7d05632a914f5383ec18a1097803f9c87a6c9,1,1586866162,"Initial alpha version of DP3T-SDK for Android
",1f7647059b04dd87a630aa0ed5a006d07b4a249a,137,0,0,0,137,"3,13,12,4,3,0,37,0,0,4,21,33,10",13,140,12.0,0
100870,goalgorilla_open_social,c194f986d76567cca3ac1feb57e4e7bb32a2b918,0,1452614455,"Say hello to Drupal Social.
",,12442,0,0,0,12442,"6,16,34,94,1195,1869,3749,2867,1667,698,101,146,0,0",12,12442,12.0,0
