,repo_id,commit_id,commit_time,message,parents,n_added,n_deleted,n_moved,n_renamed,n_struc_changes,total_files_per_level,max_file_depth,total_files,max_file_depth_diff,bucket
17348,gisto_gisto,f519cea9528fb9c08b1c69955d0fde3301faa4b4,1541185980,"FEATURE (editor): allow sandboxed HTML preview

- add preview of HTML files in a sandboxed iframe
",129ab66233063367335a0af57c7cfefd714725c4,1,0,5,0,6,"24,13,111,36,56,27,4,0,0,0,0,0,0,0,0,0,0,0",7,271,0.0,55
17349,gisto_gisto,a2f5bf1373c6a878c84c07d518698a31ea4bf804,1541239838,"FEATURE (settings): add icon theme
",ee790d2db2b8a4f6f4f625442140614cb179440c,41,0,41,0,82,"24,13,70,118,56,27,4,0,0,0,0,0,0,0,0,0,0,0",7,312,0.0,55
17350,gisto_gisto,51ca500686105de77bad57bdb7936e93418d1764,1542228969,"DOCS (site): host new site with docs alongside the app
",cac0720b2b92805a45366dfdd0fc4bd4561d8aec,100,0,0,0,100,"24,24,81,180,67,27,9,0,0,0,0,0,0,0,0,0,0,0",7,412,0.0,55
17351,gisto_gisto,53da6c394d51c4359de0646740956b6cfe9f6fe0,1542524581,"DOCS (site): document create new snippet
",8f1c847b92069e30757a85beb184d20bc77c04f9,1,0,0,0,1,"24,24,81,181,67,27,9,0,0,0,0,0,0,0,0,0,0,0",7,413,0.0,55
17352,gisto_gisto,90bc33d2dcd8fd71d8928eb9f3e0f0d98947b96a,1543057942,"TOOLS (betas): support beta versions prerelease
",044553fc17b7de5ec810445882119519ed0e1507,1,0,0,0,1,"25,24,81,181,67,27,9,0,0,0,0,0,0,0,0,0,0,0",7,414,0.0,55
17353,gisto_gisto,8b44801925c2b2af40349451340a240fc837b5ac,1543529062,"CHORE (packages): update packages and service worker for web
",00e7cb8649c391e84c733df0438b2f5d91414951,1,0,0,0,1,"25,25,81,181,67,27,9,0,0,0,0,0,0,0,0,0,0,0",7,415,0.0,55
17354,gisto_gisto,e20ea96cf0126a4e5aee3a625c6acbcb27d94344,1544036230,"CHORE (typescript): convert to typescript
",3be47728abd60e7b596cf2c47cc6bf6ead3463f2,5,3,0,24,32,"27,25,81,181,67,27,9,0,0,0,0,0,0,0,0,0,0,0",7,417,0.0,55
17355,gisto_gisto,d9cd80309d025d1d30e32c17d51d17e0b237b0a4,1544133800,"CHORE (typescript): convert Notification and Anchore to typescript
",fb9a23a5b2ad7e843f77f061b32af4f27ee07116,0,0,0,2,2,"27,25,81,181,67,27,9,0,0,0,0,0,0,0,0,0,0,0",7,417,0.0,55
17356,gisto_gisto,185f254685e8fa98d04a684b4e774eee4232cf43,1544225920,"FIX (typescript): make all Interfaces shared
",d9cd80309d025d1d30e32c17d51d17e0b237b0a4,1,0,0,0,1,"27,25,82,181,67,27,9,0,0,0,0,0,0,0,0,0,0,0",7,418,0.0,55
17357,gisto_gisto,0b05291c363815b181c3b03bbcb3874651c64d2d,1544887255,"TEST (reducers+components): add more tests
",1c6e2c49af048022b4fce14934608eeddef545e1,1,0,0,0,1,"27,25,83,181,67,27,9,0,0,0,0,0,0,0,0,0,0,0",7,419,0.0,55
17358,gisto_gisto,9a612973704c2507f4e25998a0f6f3b501f50c92,1544904944,"CHORE (typescript): move snippets selector to typescript
",2bab4a4b4fdd46b818aa451b8de8757a6eec80b9,0,0,0,1,1,"27,25,83,181,67,27,9,0,0,0,0,0,0,0,0,0,0,0",7,419,0.0,55
17359,gisto_gisto,4481ee5525a4109d96fdd6e8a7bd50689bf200a2,1545341720,"CHORE (size): reduce  bundle size + remove webpack merges
",cd4a5a903d8aea43dd919f8b518df06dcd6251d7,0,3,0,0,3,"24,25,83,181,67,27,9,0,0,0,0,0,0,0,0,0,0,0",7,416,0.0,55
17360,gisto_gisto,4cc81662d26e9a589ca27465b9dac312317c8875,1551733751,"FIX (create new): update Select and improve usability
",f8872a611554767bf39424e880c5c50a4190c424,1,0,0,0,1,"24,25,84,181,67,27,9,0,0,0,0,0,0,0,0,0,0,0",7,417,0.0,55
17361,gisto_gisto,2adee2aeb2a500e992c535946af22fe6d80acab1,1553145267,"FIX (typography): add more charsets
",b73ecfb1f0b98d57044d362e2582893b1b5d3fcc,6,6,0,0,12,"24,25,84,181,67,27,9,0,0,0,0,0,0,0,0,0,0,0",7,417,0.0,55
17362,gisto_gisto,8f78bfd820ffddcbbc87d8f5da791975b9c52c1a,1554496762,"Merge branch 'next'

* next:
  1.11.3-beta.1
  FEATURE (snippets order): allow setting order by field and direction from settings closes #249
  1.11.3-beta.0
  FEATURE (UI): add background to some app pages
  FIX (UtilityIcon): sometime errors in case of click outside
  FIX (router): use proper import instead of depricated
  FEATURE (esitor): add latex preview with katex
  CHORE (build): cleanup
","dbbd264437dc49b1f5a004ce43ab7b0d5391eee0,5999f85c33da91353e568455e2fc6aa557a45520",1,0,0,0,1,"24,25,84,181,68,27,9,0,0,0,0,0,0,0,0,0,0,0",7,418,0.0,55
17363,gisto_gisto,0b30a8229a7374c909621876c5b470a535bebba7,1562355110,"FIX (layout + inputs): debounce inputs and fix layout glitch caused by chromium upstream

chromium upstream issue: https://bugs.chromium.org/p/chromium/issues/detail?id=927066
",04db73e21f616761b3974468275b1c564d587445,1,0,0,0,1,"25,25,84,181,68,27,9,0,0,0,0,0,0,0,0,0,0,0",7,419,0.0,55
17364,gisto_gisto,1ccef3480dd426d76d930fe827fb71f244b9b866,1581541542,Create snapcraft.yaml,4b746fc58afc2e297587211119ad36d8c273410f,1,0,0,0,1,"25,26,84,181,68,27,9,0,0,0,0,0,0,0,0,0,0,0",7,420,0.0,55
17365,gisto_gisto,b2da41e87c2fbdf1fdd6f4098bef0db4efb73969,1602198902,"FEATURE (preview): openapi/swagger
",da03b034583a63454c6bef08c9ac415ff7f5ebdb,1,0,0,0,1,"25,26,84,181,69,27,9,0,0,0,0,0,0,0,0,0,0,0",7,421,0.0,55
