,name,url,clone_url,default_branch,stargazers_count,owner.name,owner.type,description,language,topics,size,archived,created_at,pushed_at,ignored,lang,True positive
74423,microservices-example,https://github.com/rkudryashov/microservices-example,https://github.com/rkudryashov/microservices-example.git,master,84,rkudryashov,User,Example of a microservices architecture on the modern stack of Java technologies,Kotlin,eureka|feign|gradle|gradle-kotlin-dsl|hystrix|kotlin|microservice|microservices|microservices-architecture|openfeign|spring-boot|spring-boot-2|spring-cloud|spring-cloud-config|spring-cloud-gateway|spring-cloud-netflix|spring-cloud-sleuth|thymeleaf|webflux|webjars,524,FALSE,2018-11-28 15:22:10+00:00,2020-04-10 14:54:08+00:00,TRUE,Kotlin,
75907,MotionLayoutExample,https://github.com/gilgoldzweig/MotionLayoutExample,https://github.com/gilgoldzweig/MotionLayoutExample.git,master,56,gilgoldzweig,User,,Kotlin,,152,FALSE,2019-12-26 13:00:02+00:00,2020-01-12 20:00:06+00:00,TRUE,Kotlin,
71013,android-template,https://github.com/blocoio/android-template,https://github.com/blocoio/android-template.git,master,560,blocoio,Organization,Android app starter template,Kotlin,android|architecture|clean-architecture|edge-to-edge|flow|hilt|hilt-android|jetpack-compose|kotlin|kotlin-android|kotlin-flows|ktor|material-design|material-ui|material-you|mockk|mvvm|starter-template|template|testing,5710,FALSE,2016-02-12 18:27:46+00:00,2023-05-08 09:14:05+00:00,TRUE,Kotlin,
43199,unity-rts-demo,https://github.com/stormtek/unity-rts-demo,https://github.com/stormtek/unity-rts-demo.git,master,409,stormtek,User,A demo / foundation for an RTS game built using Unity 3d with C# scripting,C#,,4453,FALSE,2012-12-20 09:20:06+00:00,2020-09-30 17:13:37+00:00,TRUE,C#,
76882,WaveFormViewDemo,https://github.com/SIY1121/WaveFormViewDemo,https://github.com/SIY1121/WaveFormViewDemo.git,master,45,SIY1121,User,Provides a view to display audio waveforms.,Kotlin,android|android-library|audio-visualizer|kotlin-android,7280,FALSE,2018-03-08 12:54:15+00:00,2021-08-06 13:42:05+00:00,TRUE,Kotlin,
76623,S-Pen-Demo,https://github.com/mouredev/S-Pen-Demo,https://github.com/mouredev/S-Pen-Demo.git,main,47,mouredev,User,,Kotlin,,121,FALSE,2022-07-13 06:29:59+00:00,2022-07-22 12:14:17+00:00,TRUE,Kotlin,
47532,AwesomeUnityTutorial,https://github.com/chutianshu1981/AwesomeUnityTutorial,https://github.com/chutianshu1981/AwesomeUnityTutorial.git,main,144,chutianshu1981,User,"精选官方高质量教程作为入门学习内容，选择最优学习路线，让学习过程“如丝般顺滑”；力求做全网最易学，知识最全面的游戏开发教程。Select the official high-quality tutorials as the introductory learning content, choose the best learning route to make the learning process ""smooth as silk""; strive to be the easiest to learn and the most comprehensive game development tutorial",C#,,90737,FALSE,2021-10-27 02:52:15+00:00,2024-02-08 09:54:14+00:00,TRUE,C#,
72900,android-tv-program-guide,https://github.com/egeniq/android-tv-program-guide,https://github.com/egeniq/android-tv-program-guide.git,master,152,egeniq,Organization,Android TV Program Guide,Kotlin,,10442,FALSE,2019-08-14 12:33:08+00:00,2023-12-14 10:13:02+00:00,TRUE,Kotlin,
27161,modern-cmake-by-example,https://github.com/stdrc/modern-cmake-by-example,https://github.com/stdrc/modern-cmake-by-example.git,13_back_to_makefile,549,stdrc,User,IPADS 实验室新人培训第二讲：CMake（2021.11.3）,C++,,444,FALSE,2021-10-15 06:09:21+00:00,2023-04-10 03:16:40+00:00,TRUE,C_C++,
38128,Ultimate-Java-Resources,https://github.com/dubesar/Ultimate-Java-Resources,https://github.com/dubesar/Ultimate-Java-Resources.git,master,263,dubesar,User,Java programming. All in one Java Resource for learning. Updated every day and up to date. All Algorithms and DS along with Development in Java. Beginner to Advanced. Join the Discord link. ,Java,algorithms|android|android-development|computer-science|data-structures|dynamic|dynamic-programming|hacktoberfest|hacktoberfest-starter|hacktoberfest2019|hacktoberfest2020|hacktoberfest2021|java|java-programming|learn|programming-language|search-algorithm|tutorial|wikipedia,55544,FALSE,2019-08-14 18:39:07+00:00,2023-07-11 17:28:29+00:00,TRUE,Java,
