,name,url,clone_url,default_branch,stargazers_count,owner.name,owner.type,description,language,topics,size,archived,created_at,pushed_at,ignored,lang,True positive
13834,Guiders-JS,https://github.com/pickhardt/Guiders-JS,https://github.com/pickhardt/Guiders-JS.git,master,1661,pickhardt,User,Guiders.js: A Javascript library for guiders.,JavaScript,,345,FALSE,2011-06-03 21:02:07+00:00,2022-05-05 01:36:49+00:00,TRUE,JavaScript,
19007,node-steam-guide,https://github.com/andrewda/node-steam-guide,https://github.com/andrewda/node-steam-guide.git,master,608,andrewda,User,A guide to creating Steam bots and websites using Node.js,JavaScript,bot|steam|steambot,680,FALSE,2016-11-26 03:14:08+00:00,2021-08-25 17:59:13+00:00,TRUE,JavaScript,
39217,flowable-examples,https://github.com/flowable/flowable-examples,https://github.com/flowable/flowable-examples.git,master,219,flowable,Organization,Repository with example Flowable projects,Java,,3385,FALSE,2016-12-20 08:21:56+00:00,2023-03-17 06:37:49+00:00,TRUE,Java,
18836,awesome-seo,https://github.com/teles/awesome-seo,https://github.com/teles/awesome-seo.git,master,622,teles,User,:star2: A curated list of SEO (Search Engine Optimization) links.,JavaScript,hacktoberfest|seo,78,FALSE,2015-09-26 03:53:53+00:00,2023-10-09 15:45:33+00:00,TRUE,JavaScript,
77139,react-native-native-module-example,https://github.com/mj-studio-sample/react-native-native-module-example,https://github.com/mj-studio-sample/react-native-native-module-example.git,master,43,mj-studio-sample,Organization,The example project for React Native native module and native view module with Swift and Kotlin,Kotlin,,1242,FALSE,2020-08-23 10:51:40+00:00,2020-08-26 06:11:34+00:00,TRUE,Kotlin,
99588,UserDefaultsPropertyWrapper,https://github.com/V8tr/UserDefaultsPropertyWrapper,https://github.com/V8tr/UserDefaultsPropertyWrapper.git,master,29,V8tr,User,Swifty UserDefaults property wrapper with statically-typed keys and change observations. https://www.vadimbulavin.com/advanced-guide-to-userdefaults-in-swift/,Swift,property-wrapper|property-wrappers|swift|user-defaults|userdefaults,11,FALSE,2020-04-17 14:42:15+00:00,2020-05-01 08:35:05+00:00,TRUE,Swift,
11483,nginx-tutorial,https://github.com/dunwu/nginx-tutorial,https://github.com/dunwu/nginx-tutorial.git,master,4323,dunwu,User,这是一个 Nginx 极简教程，目的在于帮助新手快速入门 Nginx。,JavaScript,load-balancer|nginx|proxy|tutorial,3769,FALSE,2018-07-04 03:07:14+00:00,2024-01-27 15:12:46+00:00,TRUE,JavaScript,
12163,FrontEndCollection,https://github.com/cheatsheet1999/FrontEndCollection,https://github.com/cheatsheet1999/FrontEndCollection.git,main,3003,cheatsheet1999,User,"Notes for Fullstack Software Engineers. Covers common data structure and algorithms, web concepts, Javascript / TypeScript, React, and more!",JavaScript,data-structures|front-end-development|frontend|fullstack|interview|javascript|leetcode|nodejs|react|typescript|webdevelopment,14545,FALSE,2021-06-16 04:02:44+00:00,2023-12-09 00:54:22+00:00,TRUE,JavaScript,
33904,HighLight-GuideView,https://github.com/yilylong/HighLight-GuideView,https://github.com/yilylong/HighLight-GuideView.git,master,688,yilylong,User,用户指引提示guideview，新特性高亮指示 HighLight,Java,guide|guideview|highlight|tip|tipview|user-guide|userguideview|view-tipview,989,FALSE,2015-11-27 08:49:25+00:00,2023-08-17 02:32:18+00:00,TRUE,Java,
67835,micro-clean-architecture-service-demo,https://github.com/viettranx/micro-clean-architecture-service-demo,https://github.com/viettranx/micro-clean-architecture-service-demo.git,main,243,viettranx,User,A demo microservice with Clean Architecture in practice,Go,clean-architecture|go|golang|grpc|grpc-go|microservices|rest-api,982,FALSE,2023-03-24 09:47:06+00:00,2023-03-27 09:50:52+00:00,TRUE,Go,
64632,go-project-sample,https://github.com/sdgmf/go-project-sample,https://github.com/sdgmf/go-project-sample.git,master,515,sdgmf,User,Introduce the best practice experience of Go project with a complete project example.通过一个完整的项目示例介绍Go语言项目的最佳实践经验.,Go,best|best-practice|consul|dashboard|dependency-injection|example|gin|golang|gorm|grafana|grpc|inject|jaeger|micro|microservice|opentracing|practice|prometheus|sample|wire,544,FALSE,2019-07-26 07:29:03+00:00,2024-01-25 09:17:56+00:00,TRUE,Go,
14049,wordpressify,https://github.com/luangjokaj/wordpressify,https://github.com/luangjokaj/wordpressify.git,master,1569,luangjokaj,User,🎈 Automate your WordPress development workflow.,JavaScript,boilerplate|build-tool|database|docker|docker-compose|docker-settings|es6|gulp|nginx|node|nodejs|postcss|sass|wordpress|wordpress-theme|wordpressify|workflow|xdebug,21890,FALSE,2017-06-05 13:04:46+00:00,2023-11-16 21:24:52+00:00,TRUE,JavaScript,
18707,react-redux-universal-hot-example,https://github.com/bertho-zero/react-redux-universal-hot-example,https://github.com/bertho-zero/react-redux-universal-hot-example.git,master,634,bertho-zero,User,"A starter boilerplate for a universal webapp using react, redux, express and feathers",JavaScript,boilerplate|feathersjs|offline-first|progressive-web-app|react|redux|starter-kit|universal,17609,FALSE,2016-06-06 21:41:13+00:00,2020-06-02 13:48:05+00:00,TRUE,JavaScript,
38897,cloud-bigtable-examples,https://github.com/GoogleCloudPlatform/cloud-bigtable-examples,https://github.com/GoogleCloudPlatform/cloud-bigtable-examples.git,main,229,GoogleCloudPlatform,Organization,Examples of how to use Cloud Bigtable both with GCE map/reduce as well as stand alone applications.,Java,samples,1406,FALSE,2014-12-05 12:59:52+00:00,2024-02-07 20:17:20+00:00,TRUE,Java,
52567,php-opencv-examples,https://github.com/php-opencv/php-opencv-examples,https://github.com/php-opencv/php-opencv-examples.git,master,458,php-opencv,Organization,Tutorial for computer vision and machine learning in PHP 7/8 by opencv (installation + examples + documentation),PHP,caffe|darknet|detection|dnn|docker|face|facemark|facial-landmarks|imagenet|lbf|lbph|ml|mobilenet|onnx|opencv|php|recognition|tensorflow|torch|waifu2x,230785,FALSE,2018-05-16 16:58:55+00:00,2023-04-02 03:55:36+00:00,TRUE,PHP,
43952,demoinfo,https://github.com/StatsHelix/demoinfo,https://github.com/StatsHelix/demoinfo.git,master,320,StatsHelix,Organization,A library to analyze CS:GO demos in C#,C#,c-sharp|csgo|demo|fancy|nuget|parser|source-engine,689,TRUE,2014-10-19 15:03:44+00:00,2021-09-22 12:52:56+00:00,TRUE,C#,
30032,spring-boot-examples,https://github.com/ityouknow/spring-boot-examples,https://github.com/ityouknow/spring-boot-examples.git,master,29757,ityouknow,User,about learning Spring Boot via examples. Spring Boot 教程、技术栈示例代码，快速简单上手教程。 ,Java,docker|docker-composer|fastdfs|java|mongodb|mybatis|rabbitmq|scheduler|spring|spring-boot|spring-boot-examples|spring-boot-mail|spring-boot-mongodb|spring-boot-upload-file|spring-cloud|spring-data-jpa|springboot|springboot-shiro|springcloud|thymeleaf,1074,FALSE,2016-11-05 05:32:33+00:00,2023-11-18 16:32:16+00:00,TRUE,Java,
11141,trust,https://github.com/ncase/trust,https://github.com/ncase/trust.git,gh-pages,5534,ncase,User,An interactive guide to the game theory of cooperation,JavaScript,,7411,FALSE,2017-07-24 17:41:51+00:00,2021-11-14 18:08:01+00:00,TRUE,JavaScript,
99176,Streak-Tasks,https://github.com/JoeyTawadrous/Streak-Tasks,https://github.com/JoeyTawadrous/Streak-Tasks.git,master,31,JoeyTawadrous,User,Streak Tasks Habit Tracker,Swift,achievement|checklist|checklists|chores|errand|gamification|habit|list|lists|organize|priority|project|remind|task|todo|todo-list|todoapp|todolist|todos|tracker,201223,FALSE,2017-02-06 18:17:11+00:00,2020-11-21 17:35:48+00:00,TRUE,Swift,
77219,fatherofapps-android-mvvm,https://github.com/frank-nhatvm/fatherofapps-android-mvvm,https://github.com/frank-nhatvm/fatherofapps-android-mvvm.git,master,42,frank-nhatvm,User,A base source code for Android App. It is written by kotlin and followed the Google's guide : https://developer.android.com/jetpack/guide . ,Kotlin,,1369,FALSE,2021-05-20 04:09:39+00:00,2023-11-14 12:16:56+00:00,TRUE,Kotlin,
39934,ApacheCamelDemo,https://github.com/Simba-cheng/ApacheCamelDemo,https://github.com/Simba-cheng/ApacheCamelDemo.git,master,197,Simba-cheng,User,Apache Camel Demo (Learning Sample Demo),Java,apachecamel|cxf|java,67252,FALSE,2018-07-24 14:59:23+00:00,2024-01-23 00:56:09+00:00,TRUE,Java,
83264,examples,https://github.com/gtk-rs/examples,https://github.com/gtk-rs/examples.git,master,282,gtk-rs,Organization,"DEPRECATED, use https://github.com/gtk-rs/gtk-rs repository instead!",Rust,,460,TRUE,2015-04-21 20:21:37+00:00,2021-04-03 21:29:08+00:00,TRUE,Rust,
26996,baremetal-arm,https://github.com/umanovskis/baremetal-arm,https://github.com/umanovskis/baremetal-arm.git,master,564,umanovskis,User,An ebook about bare-metal programming for ARM,C,arm|bare-metal|baremetal|c|embedded|tutorial,12270,FALSE,2018-12-03 01:39:36+00:00,2021-05-07 20:55:28+00:00,TRUE,C_C++,
30527,RxJava2-Android-Samples,https://github.com/amitshekhariitbhu/RxJava2-Android-Samples,https://github.com/amitshekhariitbhu/RxJava2-Android-Samples.git,master,4962,amitshekhariitbhu,User,RxJava 2 Android Examples - How to use RxJava 2 in Android,Java,android|example|examples|migrations|rxandroid|rxjava|rxjava2|sample|samples|tutorial|tutorials,494,FALSE,2016-08-27 08:21:37+00:00,2023-01-18 08:12:31+00:00,TRUE,Java,
16427,nextacular,https://github.com/nextacular/nextacular,https://github.com/nextacular/nextacular.git,main,910,nextacular,Organization,"An open-source starter kit that will help you build full-stack multi-tenant SaaS platforms efficiently and help you focus on developing your core SaaS features. Built on top of popular and modern technologies such as Next JS, Tailwind, Prisma, and Stripe.",JavaScript,analytics|backend|boilerplate-template|email|full-stack|javascript|multi-tenancy|next-auth|next-themes|nextjs|open-source|oss|prisma|saas|seo|starter-kit|stripe|tailwindcss|vercel,723,FALSE,2022-01-07 01:12:41+00:00,2024-02-15 12:31:36+00:00,TRUE,JavaScript,
6461,Coloring-greyscale-images,https://github.com/emilwallner/Coloring-greyscale-images,https://github.com/emilwallner/Coloring-greyscale-images.git,master,1001,emilwallner,User,Coloring black and white images with deep learning.,Python,colorization|deep-learning|jupyter-notebook|keras|tensorflow|tutorial,14805,FALSE,2017-08-28 09:01:43+00:00,2024-01-22 06:17:09+00:00,TRUE,Python,
35362,AndroidTensorFlowMNISTExample,https://github.com/amitshekhariitbhu/AndroidTensorFlowMNISTExample,https://github.com/amitshekhariitbhu/AndroidTensorFlowMNISTExample.git,master,462,amitshekhariitbhu,User,Android TensorFlow MachineLearning MNIST Example (Building Model with TensorFlow for Android),Java,android|deep-learning|deep-learning-tutorial|deep-neural-networks|deeplearning|machine-learning|machine-learning-android|mnist|mnist-classification|mnist-model|tensorflow|tensorflow-android|tensorflow-model|tensorflow-models|tensorflow-tutorials,16115,FALSE,2017-03-16 15:16:30+00:00,2022-11-17 13:10:20+00:00,TRUE,Java,
42607,ReeseUnityDemos,https://github.com/reeseschultz/ReeseUnityDemos,https://github.com/reeseschultz/ReeseUnityDemos.git,master,507,reeseschultz,User,"Unity packages and demos—emphasizing ECS, jobs and the Burst compiler—by Reese and others.",C#,dots|ecs|game-development|navigation|pathing|unity|unity3d|upm,93104,FALSE,2019-12-30 16:33:54+00:00,2022-06-20 18:36:14+00:00,TRUE,C#,
63453,algorithms,https://github.com/shady831213/algorithms,https://github.com/shady831213/algorithms.git,master,759,shady831213,User,CLRS study. Codes are written with golang.,Go,algorithm|algorithms|bfs-algorithm|binaryheap|clrs|clrs-study|connected-components|dfs-algorithm|disjoint-set|dynamic-programming|go|golang|graph|greedy-algorithms|hashmap|heap|sort|tree,1139,FALSE,2018-01-31 09:27:56+00:00,2021-03-17 08:01:38+00:00,TRUE,Go,
1024,example-code,https://github.com/fluentpython/example-code,https://github.com/fluentpython/example-code.git,master,5505,fluentpython,Organization,"Example code for the book Fluent Python, 1st Edition (O'Reilly, 2015)",Python,,12950,TRUE,2014-10-14 16:48:40+00:00,2021-12-02 14:39:34+00:00,TRUE,Python,
84561,r1cs-tutorial,https://github.com/arkworks-rs/r1cs-tutorial,https://github.com/arkworks-rs/r1cs-tutorial.git,main,183,arkworks-rs,Organization,Tutorial for writing constraints in the `arkworks` framework,Rust,cryptography|r1cs|rollup|rust,116,FALSE,2021-04-21 18:02:47+00:00,2022-09-12 05:34:45+00:00,TRUE,Rust,
76022,HiltDemo,https://github.com/rengwuxian/HiltDemo,https://github.com/rengwuxian/HiltDemo.git,master,54,rengwuxian,User,Hilt 集训课代码,Kotlin,,140,FALSE,2020-08-13 01:01:58+00:00,2020-08-13 02:45:19+00:00,TRUE,Kotlin,
27190,AdvancedLiterateMachinery,https://github.com/AlibabaResearch/AdvancedLiterateMachinery,https://github.com/AlibabaResearch/AdvancedLiterateMachinery.git,main,547,AlibabaResearch,Organization,"A collection of original, innovative ideas and algorithms towards Advanced Literate Machinery. This project is maintained by the OCR Team in the Language Technology Lab, Alibaba DAMO Academy.",C++,artificial-intelligence|computer-vision|document|document-analysis|document-intelligence|document-recognition|document-understanding|documentai|end-to-end-ocr|multimodal|multimodal-deep-learning|ocr|scene-text-detection|scene-text-detection-recognition|scene-text-recognition|text-detection|text-recognition|vision-language|vision-language-model|vision-language-transformer,103146,FALSE,2022-09-28 13:32:21+00:00,2024-01-25 21:11:07+00:00,TRUE,C_C++,
19481,Pathfinding-Visualizer-Tutorial,https://github.com/clementmihailescu/Pathfinding-Visualizer-Tutorial,https://github.com/clementmihailescu/Pathfinding-Visualizer-Tutorial.git,master,571,clementmihailescu,User,Tutorial for my original Pathfinding Visualizer project.,JavaScript,,915,FALSE,2019-10-05 08:32:50+00:00,2023-03-03 09:59:50+00:00,TRUE,JavaScript,
77838,ViewBindingExample,https://github.com/Zhuinden/ViewBindingExample,https://github.com/Zhuinden/ViewBindingExample.git,master,37,Zhuinden,User,An example of using ViewBinding in Activity/Fragment.,Kotlin,,141,FALSE,2020-02-23 15:28:53+00:00,2020-03-30 07:49:53+00:00,TRUE,Kotlin,
95734,iOS-Geofence-Demo,https://github.com/Mindinventory/iOS-Geofence-Demo,https://github.com/Mindinventory/iOS-Geofence-Demo.git,master,71,Mindinventory,Organization,Setup Geofences and get notifications when the device enters or leaves the geofence.,Swift,geofences|gpx|ios-swift|notifications|region-monitoring|restaurant|shopping|trigger,111,FALSE,2018-04-23 09:59:12+00:00,2021-06-30 07:11:13+00:00,TRUE,Swift,
30753,poi-tl,https://github.com/Sayi/poi-tl,https://github.com/Sayi/poi-tl.git,master,3786,Sayi,User,Generate awesome word(docx) with template,Java,docx|export|java|markdown|poi|template|word,102829,FALSE,2015-03-20 06:47:52+00:00,2024-02-19 03:30:50+00:00,TRUE,Java,
48554,CSharpGuidelinesAnalyzer,https://github.com/bkoelman/CSharpGuidelinesAnalyzer,https://github.com/bkoelman/CSharpGuidelinesAnalyzer.git,master,120,bkoelman,User,Reports diagnostics for C# coding guidelines that are not already covered by Resharper.,C#,analyzer|c-sharp|coding-guidelines,2038,FALSE,2016-09-30 22:31:57+00:00,2024-02-06 23:04:01+00:00,TRUE,C#,
1766,django-jet,https://github.com/geex-arts/django-jet,https://github.com/geex-arts/django-jet.git,dev,3512,geex-arts,Organization,Modern responsive template for the Django admin interface with improved functionality. We are proud to announce completely new Jet. Please check out Live Demo,Python,admin|admin-dashboard|administration|backoffice|dashboard|django|interface|responsive|template,5525,FALSE,2015-07-29 21:35:35+00:00,2024-02-10 02:55:55+00:00,TRUE,Python,
31533,WSLiveDemo,https://github.com/WangShuo1143368701/WSLiveDemo,https://github.com/WangShuo1143368701/WSLiveDemo.git,master,1973,WangShuo1143368701,User,音视频，直播SDK，rtmp推流，录制视频，滤镜。百万用户，线上迭代半年，已经稳定。,Java,android|camera|gpuimage|mediacodec|opengl-es|rtmp,379,FALSE,2018-02-27 06:10:53+00:00,2022-04-04 06:24:43+00:00,TRUE,Java,
5983,talking-head-anime-2-demo,https://github.com/pkhungurn/talking-head-anime-2-demo,https://github.com/pkhungurn/talking-head-anime-2-demo.git,main,1092,pkhungurn,User,Demo programs for the Talking Head Anime from a Single Image 2: More Expressive project.,Python,ai|anime|computer-graphics|computer-vision|deep-learning|machine-learning|python|pytorch|vtuber,1404,FALSE,2021-03-02 16:14:39+00:00,2022-06-29 20:26:56+00:00,TRUE,Python,
1,system-design-primer,https://github.com/donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer.git,master,246996,donnemartin,User,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.,Python,design|design-patterns|design-system|development|interview|interview-practice|interview-questions|programming|python|system|web|web-application|webapp,11187,FALSE,2017-02-26 16:15:28+00:00,2024-01-16 22:15:13+00:00,TRUE,Python,
66914,dasarpemrogramangolang-example,https://github.com/novalagung/dasarpemrogramangolang-example,https://github.com/novalagung/dasarpemrogramangolang-example.git,master,294,novalagung,User,📖 Source Code Praktik E-book Dasar Pemrograman Golang,Go,,29758,FALSE,2019-11-27 09:44:59+00:00,2023-12-22 09:36:16+00:00,TRUE,Go,
74707,polyglot-maven-examples,https://github.com/takari/polyglot-maven-examples,https://github.com/takari/polyglot-maven-examples.git,master,78,takari,Organization,Example projects using polyglot-maven,Kotlin,,122,FALSE,2015-03-18 15:48:04+00:00,2020-12-14 20:36:46+00:00,TRUE,Kotlin,
8755,awesome-web-editor,https://github.com/xjh22222228/awesome-web-editor,https://github.com/xjh22222228/awesome-web-editor.git,main,729,xjh22222228,User,🔨  Open source WEB editor summary,Python,awesome|awesome-list|editor|jquery-editor|json-editor|lists|markdown-editor|react-editor|resources|rich-text-editor|summary|vue-editor|web-editor|wysiwyg|wysiwyg-editor|wysiwyg-editors|wysiwyg-html-editor|wysiwyg-js-editor,1304,FALSE,2018-07-28 09:28:28+00:00,2024-02-19 18:29:30+00:00,TRUE,Python,
21863,xdp-tutorial,https://github.com/xdp-project/xdp-tutorial,https://github.com/xdp-project/xdp-tutorial.git,master,2147,xdp-project,Organization,XDP tutorial,C,bpf|libbpf|tutorial|xdp,656,FALSE,2019-02-25 14:40:51+00:00,2024-02-20 01:42:43+00:00,TRUE,C_C++,
10470,shepherd,https://github.com/shepherd-pro/shepherd,https://github.com/shepherd-pro/shepherd.git,master,11749,shepherd-pro,Organization,Guide your users through a tour of your app,JavaScript,hacktoberfest|shepherd|tour,52415,FALSE,2013-12-17 06:30:27+00:00,2024-02-19 10:31:04+00:00,TRUE,JavaScript,
33953,LyricViewDemo,https://github.com/asr-pub/LyricViewDemo,https://github.com/asr-pub/LyricViewDemo.git,master,675,asr-pub,User,LyricView is a powerful and flexible custom view to display lyrics within music player under Android,Java,android|lyrics|musicplayer,28292,FALSE,2016-12-26 15:10:42+00:00,2022-04-10 03:53:14+00:00,TRUE,Java,
31059,LeetCode-Solutions-in-Good-Style,https://github.com/liweiwei1419/LeetCode-Solutions-in-Good-Style,https://github.com/liweiwei1419/LeetCode-Solutions-in-Good-Style.git,master,2787,liweiwei1419,User,首页已经更新，希望能对大家有帮助。,Java,java|leetcode|python,8386,FALSE,2018-12-10 01:50:09+00:00,2022-01-07 10:38:35+00:00,TRUE,Java,
26783,Online-Judge-Solutions,https://github.com/marioyc/Online-Judge-Solutions,https://github.com/marioyc/Online-Judge-Solutions.git,master,582,marioyc,User,Solutions to ACM ICPC - style problems,C++,algorithms|c-plus-plus|competitive-programming|data-structures,4445,FALSE,2010-09-24 16:07:05+00:00,2023-11-16 12:09:11+00:00,TRUE,C_C++,
52635,php-interview-exercises,https://github.com/azdanov/php-interview-exercises,https://github.com/azdanov/php-interview-exercises.git,main,444,azdanov,User,Some exercises to practice whiteboard interview questions in PHP.,PHP,exercises|interview|php|tdd,359,FALSE,2019-04-07 19:07:16+00:00,2024-02-10 09:20:38+00:00,TRUE,PHP,
34933,clean-architecture-example,https://github.com/carlphilipp/clean-architecture-example,https://github.com/carlphilipp/clean-architecture-example.git,master,516,carlphilipp,User,An example to create a clean architecture with Java 11,Java,clean-architecture,179,FALSE,2018-04-11 01:09:36+00:00,2021-01-03 20:35:23+00:00,TRUE,Java,
1270,yadm,https://github.com/TheLocehiliosan/yadm,https://github.com/TheLocehiliosan/yadm.git,master,4601,TheLocehiliosan,User,Yet Another Dotfiles Manager,Python,bash|bootstrap|commandline|dot-files|dotfile-management|dotfile-manager|dotfiles|dotfiles-automation|dotfiles-linux|dotfiles-macos|encryption|git|gpg|hooks|jinja2|manager|multiple-machines|symlink-alternative|template|yadm,4005,FALSE,2015-07-14 12:51:13+00:00,2024-02-16 16:55:27+00:00,TRUE,Python,
29903,VoxelEngine-Cpp,https://github.com/MihailRis/VoxelEngine-Cpp,https://github.com/MihailRis/VoxelEngine-Cpp.git,main,377,MihailRis,User,Minecraft-like game engine in C++ with OpenGL,C++,game|game-engine|opengl|tutorial|voxel-game,2433,FALSE,2021-04-25 13:04:58+00:00,2024-02-20 12:18:06+00:00,TRUE,C_C++,
38841,typescript-react-native-starter,https://github.com/NewBieBR/typescript-react-native-starter,https://github.com/NewBieBR/typescript-react-native-starter.git,master,231,NewBieBR,User,A highly scalable foundation with a focus on best pratices and simplicity to start your React Native project in seconds.,Java,boilerplate|codecov|react|react-native|react-navigation|redux|starter|starter-kit|typescript|typescript-react-native-starter,22979,FALSE,2019-07-05 19:41:25+00:00,2023-07-18 20:25:01+00:00,TRUE,Java,
27518,Rendu,https://github.com/kosua20/Rendu,https://github.com/kosua20/Rendu.git,master,519,kosua20,User,A simple realtime graphics playground for experimentations.,C++,computer-graphics|gpu|graphics-engine|graphics-programming|opengl|template,42307,FALSE,2016-05-06 21:53:29+00:00,2023-10-08 10:32:09+00:00,TRUE,C_C++,
24307,C-CrashCourse,https://github.com/hairrrrr/C-CrashCourse,https://github.com/hairrrrr/C-CrashCourse.git,master,933,hairrrrr,User,C语言教程+博客+代码演示+课程设计。 帮助初学者更好的理解 C 难点，提升代码量！ For beginners:C tuition/self-learning,C,c|learning|tutorial,1113,FALSE,2020-02-07 03:52:05+00:00,2022-01-12 13:41:14+00:00,TRUE,C_C++,
68812,gnet-examples,https://github.com/gnet-io/gnet-examples,https://github.com/gnet-io/gnet-examples.git,v2,204,gnet-io,Organization,Examples of gnet,Go,,51,FALSE,2020-07-04 12:10:20+00:00,2022-11-25 12:09:42+00:00,TRUE,Go,
30517,springboot-guide,https://github.com/CodingDocs/springboot-guide,https://github.com/CodingDocs/springboot-guide.git,master,5007,CodingDocs,Organization,SpringBoot2.0+从入门到实战！,Java,asynchronous|dubbo|mybatis|rabbitmq|spring-data-jpa|springboot,5354,FALSE,2018-11-28 01:05:07+00:00,2023-05-28 15:09:17+00:00,TRUE,Java,
74261,gong,https://github.com/xmartlabs/gong,https://github.com/xmartlabs/gong.git,main,89,xmartlabs,Organization,Xmartlabs' Android Base Project Template,Kotlin,android|architecture-components|baseproject|boilerplate|hacktoberfest|jetpack-compose|kotlin-android|mvi|redux-android|store,2215,FALSE,2020-04-25 18:16:45+00:00,2023-06-13 20:28:45+00:00,TRUE,Kotlin,
96130,XCoordinator-Example,https://github.com/QuickBirdEng/XCoordinator-Example,https://github.com/QuickBirdEng/XCoordinator-Example.git,master,63,QuickBirdEng,Organization,XCoordinator-Example serves as an MVVM-C example app for XCoordinator,Swift,coordinator|coordinator-pattern|mvvm|uikit|uikit-examples|xcoordinator,224,FALSE,2019-09-17 08:02:19+00:00,2023-05-09 00:52:35+00:00,TRUE,Swift,
16209,suicrux,https://github.com/Metnew/suicrux,https://github.com/Metnew/suicrux.git,master,945,Metnew,User,"🚀 Ultimate universal starter with lazy-loading, SSR and i18n. [not maintained]",JavaScript,boilerplate|example|fullstack|pwa|react|redux|semantic-ui|semantic-ui-react|ssr|starter|template|universal|universal-react|webpack,8738,TRUE,2017-02-13 04:27:43+00:00,2022-10-08 17:17:20+00:00,TRUE,JavaScript,
77082,ktorm-example-spring-boot,https://github.com/kotlin-orm/ktorm-example-spring-boot,https://github.com/kotlin-orm/ktorm-example-spring-boot.git,master,43,kotlin-orm,Organization,A simple example project integrating Ktorm with Spring Boot.,Kotlin,kotlin|orm|sql,97,FALSE,2019-05-17 02:06:44+00:00,2023-09-04 15:20:05+00:00,TRUE,Kotlin,
99427,demo-job-portal-with-apple,https://github.com/appwrite/demo-job-portal-with-apple,https://github.com/appwrite/demo-job-portal-with-apple.git,main,29,appwrite,Organization,A basic demo example for integrating between Appwrite & Apple (=❤️),Swift,appwrite|swiftui,1141,TRUE,2021-10-15 09:36:43+00:00,2021-10-19 09:29:42+00:00,TRUE,Swift,
24036,Vitis-Tutorials,https://github.com/Xilinx/Vitis-Tutorials,https://github.com/Xilinx/Vitis-Tutorials.git,2023.2,997,Xilinx,Organization,Vitis In-Depth Tutorials,C,aiengine|alveo|alveo-u200|alveo-u250|embedded|embedded-systems|fpga|kria|kria-som|vitis|xrt|zcu102|zcu104,670869,FALSE,2019-09-30 17:08:51+00:00,2024-02-08 13:01:41+00:00,TRUE,C_C++,
3572,leetCode,https://github.com/HuberTRoy/leetCode,https://github.com/HuberTRoy/leetCode.git,master,1806,HuberTRoy,User,:pencil2: 算法相关知识储备 LeetCode with Python and JavaScript :books:,Python,algorithm|algorithms|alogrithms|data-structures|interview|leetcode|leetcode-javascript|leetcode-python|leetcode-solutions,289,FALSE,2018-07-22 04:47:47+00:00,2021-07-26 05:18:08+00:00,TRUE,Python,
94269,abema-ios-tutorial-public,https://github.com/abema/abema-ios-tutorial-public,https://github.com/abema/abema-ios-tutorial-public.git,master,119,abema,Organization,ABEMA iOS チュートリアルプロジェクト,Swift,,2018,FALSE,2020-03-26 05:57:46+00:00,2023-05-22 07:04:46+00:00,TRUE,Swift,
61273,go-collection,https://github.com/jiujuan/go-collection,https://github.com/jiujuan/go-collection.git,master,2627,jiujuan,User,":tulip: awesome awesome go, study golang from basic to proficient。Go Study Guide。从学习 Go 基础语法和高级特性，到实战项目，再到架构微服务，最后到跑路。",Go,awesome|awesome-list|course|gin|go|golang|guidelines|kit|micro|note|tour|training|tutorial,1507,FALSE,2019-07-07 08:37:39+00:00,2024-01-17 06:08:18+00:00,TRUE,Go,
3240,awesome-dash,https://github.com/ucg8j/awesome-dash,https://github.com/ucg8j/awesome-dash.git,master,1991,ucg8j,User,A curated list of awesome Dash (plotly) resources,Python,awesome|awesome-list|plotly|python,181,FALSE,2017-10-23 15:17:19+00:00,2022-12-11 17:41:56+00:00,TRUE,Python,
47797,UnityTextureAccessApiExamples,https://github.com/Unity-Technologies/UnityTextureAccessApiExamples,https://github.com/Unity-Technologies/UnityTextureAccessApiExamples.git,main,137,Unity-Technologies,Organization,Example project for Unity 2020.1+ texture data access APIs,C#,owner-core,654,FALSE,2021-01-28 11:58:11+00:00,2023-05-25 17:12:50+00:00,TRUE,C#,
11004,node-express-boilerplate,https://github.com/hagopj13/node-express-boilerplate,https://github.com/hagopj13/node-express-boilerplate.git,master,6277,hagopj13,User,"A boilerplate for building production-ready RESTful APIs using Node.js, Express, and Mongoose",JavaScript,boilerplate|es2018|es6|express|express-boilerplate|jest|mongodb|mongoose|node-boilerplate|nodejs|rest-api|starter,1620,FALSE,2019-10-25 19:38:50+00:00,2024-02-11 12:44:04+00:00,TRUE,JavaScript,
67487,clean_arcitecture_golang_example,https://github.com/ruslantsyganok/clean_arcitecture_golang_example,https://github.com/ruslantsyganok/clean_arcitecture_golang_example.git,master,260,ruslantsyganok,User,Clean Architecture Golang Example (kinda),Go,,134,FALSE,2021-10-30 07:43:26+00:00,2022-03-26 12:17:59+00:00,TRUE,Go,
34826,AppRTCDemo,https://github.com/njovy/AppRTCDemo,https://github.com/njovy/AppRTCDemo.git,master,529,njovy,User,Android AppRTC Demo of WebRTC project,Java,,115001,FALSE,2015-01-26 08:01:37+00:00,2022-12-01 14:20:06+00:00,TRUE,Java,
