,commit_id,action,old_path,new_path,language,old_file_depth,new_file_depth,repo_id,bucket,file_depth_diff
107719,41aac59c35b4d7fe73a335767bf3b205c98d96fe,move,src/go-src-converted/cmd/go/testdata/src/empty/pkgtestxtest/pkgtestxtest.metadata,src/go-src-converted/strings/golang.org/x/tools/go/analysis/passes/stringintconv/cmd/stringintconv/golang.org/x/tools/go/analysis/passes/stringintconv/testdata/src/a/a.metadata,,8,22,gridprotectionalliance_go2cs,494,14
84676,8aff5dd14b1872ef7c8014ad8e5509aa2626887e,move,docs/.cvsignore,uportal-war/src/main/webapp/media/org/jasig/portal/layout/tab-column/xhtml-theme/common/dojo/src/widget/templates/images/bdYearBg.1.gif,,1,17,uportal-project_uportal,589,16
145727,f18b84010319abace42bbb62dc8ceeeb6620c844,move,frontend/webadmin/modules/userportal-gwtp/src/main/resources/org/ovirt/engine/ui/userportal/public/consoles/spice/usbfilter.txt,frontend/usbfilter.txt,Text,15,1,ovirt_ovirt-engine,614,14
323175,29db327541195c74b628a56532b56af29b225770,move,dataApps/dss-versions/dss-1.1.0/dss-orchestrator/orchestrators/dss-workflow/dss-workflow-sdk/src/main/java/com/webank/wedatasphere/dss/workflow/core/entity/WorkflowWithContextImpl.java,dataApps/dss-versions/DataSphereStudio-1.1.0/web/postcss.config.js,JavaScript,17,4,alldatacenter_alldata,749,13
361479,bf740b12d134df43fc093c12b37fadfcb92f57f5,move,dataApps/dss-versions/DataSphereStudio-1.1.0/dss-standard/structure-standard/dss-role-plugin/src/main/java/com/webank/wedatasphere/dss/standard/app/structure/plugin/role/RolePlugin.java,dataStudio/DataSphereStudio-versions/DataSphereStudio-1.1.0/web/postcss.config.js,JavaScript,18,4,alldatacenter_alldata,749,14
361868,bf740b12d134df43fc093c12b37fadfcb92f57f5,move,dataApps/dss-versions/DataSphereStudio-1.1.0/dss-standard/structure-standard/dss-structure-integration-standard/src/main/java/com/webank/wedatasphere/dss/standard/app/structure/status/AppStatusService.java,dataStudio/Streamis-versions/Streamis-0.2.0/web/babel.config.js,JavaScript,17,4,alldatacenter_alldata,749,13
361869,bf740b12d134df43fc093c12b37fadfcb92f57f5,move,dataApps/dss-versions/DataSphereStudio-1.1.0/dss-standard/structure-standard/dss-role-plugin/src/main/java/com/webank/wedatasphere/dss/standard/app/structure/plugin/role/DSSUserRoles.java,dataStudio/Streamis-versions/Streamis-0.2.0/web/mock.js,JavaScript,18,4,alldatacenter_alldata,749,14
2061972,15598da9e28977d49764c0e979485572a37306fc,move,ai/feast/ui/public/empty_registry.json,studio/micro-app/tis/plugins-3.7.2/tis-datax/tis-datax-kafka-plugin/src/main/resources/com/qlangtech/tis/plugins/datax/kafka/reader/messageformat/KafkaJson.json,JSON,4,17,alldatacenter_alldata,749,13
153136,882cbf3f9570ff6a2b55db22af54eb5d0fd084b8,move,nodejs/node-6.5.0/lib/node_modules/npm/node_modules/node-gyp/node_modules/path-array/node_modules/array-index/node_modules/es6-symbol/node_modules/es5-ext/error/#/index.js,nodejs/node_modules/qs/lib/index.js,JavaScript,17,4,muammar_mkchromecast,754,13
130373,c,move,db/mgo/LICENSE,vendor/github.com/mongodb/amboy/vendor/github.com/evergreen-ci/poplar/vendor/github.com/evergreen-ci/pail/vendor/gopkg.in/mgo.v2/LICENSE,Text,2,15,evergreen-ci_evergreen,758,13
130375,cf637f34e4a5c031cb3638046a252c76d02f19b9,move,db/mgo/README.md,vendor/github.com/mongodb/amboy/vendor/github.com/evergreen-ci/poplar/vendor/github.com/evergreen-ci/pail/vendor/gopkg.in/mgo.v2/README.md,Markdown,2,15,evergreen-ci_evergreen,758,13
