,repo_id,commit_id,commit_time,message,parents,n_added,n_deleted,n_moved,n_renamed,n_struc_changes,total_files_per_level,max_file_depth,total_files,max_file_depth_diff,bucket
106963,ytsaurus_ytsaurus,ed70bea801a92b49fd299e8e3e49d3963f33e08b,1439398353,"[transfer-manager] Add auto-reload for yandex-yt-python-tools
",1a15725c307e471c2a821bf72809183405ea01ea,1,0,0,0,1,"1,35,283,1891,121,13,46,4,1,0,0,0,0,0,0,0,0,0",9,2395,-1.0,56
106964,ytsaurus_ytsaurus,504907d1177e80590ad387e96d98646da51fe29f,1439758690,"[parallel scheduler] Streamline PreemptJob and StartJob

- Remove OnJobStarted handlers in fair share strategy
- Extract preemptable list update to separate function.
- Remove unused JobList.
- Extract fair-share job properties.
- Add handle to extract started job from context.
- Move scheduling context to separate file, Extract TSchedulingContextBase
- Move node discount to scheduling context
",91128789901dd60e931386955fb3d1ba240084b5,2,0,0,0,2,"1,35,283,1893,121,13,46,4,1,0,0,0,0,0,0,0,0,0",9,2397,0.0,56
106965,ytsaurus_ytsaurus,81bc9a2fcea7abfb0a4579405938b7770aa4fdad,1439836874,"Merge branch 'prestable/0.17'
","62985f5eca47b031af74f244aca9b4809b92ef08,6a2c967eb340b08e13282061949e0af144a902ad",1,0,0,3,4,"1,35,283,1893,122,13,46,4,1,0,0,0,0,0,0,0,0,0",9,2398,0.0,56
106966,ytsaurus_ytsaurus,f1710cbfb51b2bc38433a6b3f5bce97180900129,1439838748,"Local YT (yandex-yt-local package)
",20d4889a297135815dcafa8b068db96d087c2acf,11,0,0,0,11,"1,35,284,1898,123,16,47,4,1,0,0,0,0,0,0,0,0,0",9,2409,0.0,56
106967,ytsaurus_ytsaurus,20bd819ac74e033db9f4300390baf040191ffca4,1439838748,"Local YT (yandex-yt-local package)
",a265fca195c4eace5156777838940f2b703716d4,11,0,0,0,11,"0,8,22,2321,1583,122,16,47,4,1,0,0,0,0,0,0,0,0",10,4124,1.0,56
106968,ytsaurus_ytsaurus,1f3772a17d11af44cb3c83f2ff2d5032a0632ffb,1440595199,"Merge branch 'master' of github.yandex-team.ru:yt/yt
","712ba85260067b3afae2a472cfb88bc2a8bc3320,8dba7a9f2e2cebc9de38cb6d60ec1d6b646eeaa1",1,0,0,0,1,"0,8,22,2321,1584,122,16,47,4,1,0,0,0,0,0,0,0,0",10,4125,0.0,56
106969,ytsaurus_ytsaurus,06046fd12d5a7c04a1bb44865cf28e7ceb6cd9ee,1440595199,"Merge branch 'master' of github.yandex-team.ru:yt/yt
","64fb94582168c1cc568ed9d9461605095f786c6b,be39d566388944edfaff85ac50300fd98d6c49a0",1,0,0,0,1,"1,35,284,1899,123,16,47,4,1,0,0,0,0,0,0,0,0,0",9,2410,-1.0,56
106970,ytsaurus_ytsaurus,ef80f874380188c1af8b6abb14921b037f49ded6,1440865798,"Merge branch 'master' of github.yandex-team.ru:yt/yt
","06046fd12d5a7c04a1bb44865cf28e7ceb6cd9ee,695a5faa7cfe57af94e627b4e45f75e9a043241d",3,0,0,0,3,"1,35,285,1901,123,16,47,4,1,0,0,0,0,0,0,0,0,0",9,2413,0.0,56
106971,ytsaurus_ytsaurus,9b6b1c63e166c566dad9d88579adb317236a425c,1441121126,"Merge branch 'prestable/0.17.4'
","ef80f874380188c1af8b6abb14921b037f49ded6,eb8cdcd0e5f0ff63cc71abd59b5a77430cee44ce",0,5,0,0,5,"1,35,285,1901,118,16,47,4,1,0,0,0,0,0,0,0,0,0",9,2408,0.0,56
106972,ytsaurus_ytsaurus,53400b5b7afa440aec74bf44169c47e0c988c160,1441128960,"Script to regenerate cell id for 18.0 migration
",af0e63110c223397e53b99eef6f3ac35b15f4493,1,0,0,0,1,"1,36,285,1901,118,16,47,4,1,0,0,0,0,0,0,0,0,0",9,2409,0.0,56
